run_id,app_name,dataset,study_name,dataset_group,alpha_gyro,alpha_acc,dataset_nees,trial_mean_nees,trial_sum_deviations
20260504T020331353Z,evalPimNoiseCalibration,V201/tangent,all_pim_combined_coarse,all,0.5,2.0,68.6633,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,V202/quadrature,all_pim_combined_coarse,all,0.5,2.0,61.8286,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,V202/tangent,all_pim_combined_coarse,all,0.5,2.0,150.7,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,V203/quadrature,all_pim_combined_coarse,all,0.5,2.0,312.356,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,V203/tangent,all_pim_combined_coarse,all,0.5,2.0,233.927,75.4965,1638.92
20260504T020331353Z,evalPimNoiseCalibration,MH01/quadrature,all_pim_combined_coarse,all,0.5,3.0,10.2028,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,MH01/tangent,all_pim_combined_coarse,all,0.5,3.0,26.0842,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,MH02/quadrature,all_pim_combined_coarse,all,0.5,3.0,8.35183,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,MH02/tangent,all_pim_combined_coarse,all,0.5,3.0,18.6015,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,MH03/quadrature,all_pim_combined_coarse,all,0.5,3.0,13.031,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,MH03/tangent,all_pim_combined_coarse,all,0.5,3.0,38.3149,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,MH04/quadrature,all_pim_combined_coarse,all,0.5,3.0,13.4465,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,MH04/tangent,all_pim_combined_coarse,all,0.5,3.0,27.5616,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,MH05/quadrature,all_pim_combined_coarse,all,0.5,3.0,12.8916,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,MH05/tangent,all_pim_combined_coarse,all,0.5,3.0,21.7161,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V101/quadrature,all_pim_combined_coarse,all,0.5,3.0,124.298,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V101/tangent,all_pim_combined_coarse,all,0.5,3.0,153.58,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V102/quadrature,all_pim_combined_coarse,all,0.5,3.0,22.2734,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V102/tangent,all_pim_combined_coarse,all,0.5,3.0,47.5529,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V103/quadrature,all_pim_combined_coarse,all,0.5,3.0,36.1101,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V103/tangent,all_pim_combined_coarse,all,0.5,3.0,91.943,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V201/quadrature,all_pim_combined_coarse,all,0.5,3.0,30.8046,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V201/tangent,all_pim_combined_coarse,all,0.5,3.0,57.7823,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V202/quadrature,all_pim_combined_coarse,all,0.5,3.0,45.3645,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V202/tangent,all_pim_combined_coarse,all,0.5,3.0,135.503,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V203/quadrature,all_pim_combined_coarse,all,0.5,3.0,302.254,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,V203/tangent,all_pim_combined_coarse,all,0.5,3.0,207.318,65.6812,1422.99
20260504T020331353Z,evalPimNoiseCalibration,MH01/quadrature,all_pim_combined_coarse,all,0.5,5.0,7.48583,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,MH01/tangent,all_pim_combined_coarse,all,0.5,5.0,22.0549,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,MH02/quadrature,all_pim_combined_coarse,all,0.5,5.0,5.87216,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,MH02/tangent,all_pim_combined_coarse,all,0.5,5.0,15.0673,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,MH03/quadrature,all_pim_combined_coarse,all,0.5,5.0,9.16456,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,MH03/tangent,all_pim_combined_coarse,all,0.5,5.0,32.0569,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,MH04/quadrature,all_pim_combined_coarse,all,0.5,5.0,9.55924,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,MH04/tangent,all_pim_combined_coarse,all,0.5,5.0,22.9954,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,MH05/quadrature,all_pim_combined_coarse,all,0.5,5.0,8.73246,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,MH05/tangent,all_pim_combined_coarse,all,0.5,5.0,16.3959,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V101/quadrature,all_pim_combined_coarse,all,0.5,5.0,117.837,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V101/tangent,all_pim_combined_coarse,all,0.5,5.0,144.81,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V102/quadrature,all_pim_combined_coarse,all,0.5,5.0,17.4903,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V102/tangent,all_pim_combined_coarse,all,0.5,5.0,43.6015,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V103/quadrature,all_pim_combined_coarse,all,0.5,5.0,27.5125,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V103/tangent,all_pim_combined_coarse,all,0.5,5.0,82.7065,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V201/quadrature,all_pim_combined_coarse,all,0.5,5.0,24.7681,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V201/tangent,all_pim_combined_coarse,all,0.5,5.0,51.1474,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V202/quadrature,all_pim_combined_coarse,all,0.5,5.0,37.1854,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V202/tangent,all_pim_combined_coarse,all,0.5,5.0,127.833,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V203/quadrature,all_pim_combined_coarse,all,0.5,5.0,297.192,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,V203/tangent,all_pim_combined_coarse,all,0.5,5.0,197.596,59.9575,1297.07
20260504T020331353Z,evalPimNoiseCalibration,MH01/quadrature,all_pim_combined_coarse,all,0.5,7.0,6.42801,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,MH01/tangent,all_pim_combined_coarse,all,0.5,7.0,20.9884,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,MH02/quadrature,all_pim_combined_coarse,all,0.5,7.0,5.32595,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,MH02/tangent,all_pim_combined_coarse,all,0.5,7.0,14.3593,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,MH03/quadrature,all_pim_combined_coarse,all,0.5,7.0,7.83879,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,MH03/tangent,all_pim_combined_coarse,all,0.5,7.0,29.8574,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,MH04/quadrature,all_pim_combined_coarse,all,0.5,7.0,8.37833,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,MH04/tangent,all_pim_combined_coarse,all,0.5,7.0,21.429,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,MH05/quadrature,all_pim_combined_coarse,all,0.5,7.0,7.37584,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,MH05/tangent,all_pim_combined_coarse,all,0.5,7.0,14.2908,58.2101,1258.62
20260504T020331353Z,evalPimNoiseCalibration,V101/quadrature,all_pim_combined_coarse,all,0.5,7.0,116.265,58.2101,1258.62
